iter	Logloss
0	0.6676698452
1	0.6446631192
2	0.624989312
3	0.6072536656
4	0.5917325322
5	0.5755468786
6	0.5633861137
7	0.5517518604
8	0.540712047
9	0.5280638813
10	0.5197792893
11	0.510403585
12	0.5016748659
13	0.494441615
14	0.4891441989
15	0.4830181729
16	0.4775619426
17	0.472861974
18	0.4687545868
19	0.4639539499
20	0.4602371911
21	0.456352621
22	0.4533335009
23	0.4502518193
24	0.4477211688
25	0.4451473073
26	0.4417949068
27	0.4390578168
28	0.4371177979
29	0.4350771404
30	0.4331247251
31	0.4314841402
32	0.4297068948
33	0.4275174788
34	0.4262295199
35	0.4248683301
36	0.4235428954
37	0.4216310653
38	0.4195824908
39	0.417439454
40	0.4165032161
41	0.4150554366
42	0.4137646112
43	0.4119803966
44	0.4105523362
45	0.4094672605
46	0.4085554618
47	0.4075869921
48	0.4066102965
49	0.4057224209
50	0.4045865674
51	0.40382361
52	0.4016206167
53	0.4006582084
54	0.3990432508
55	0.3978129201
56	0.3966518884
57	0.3959768908
58	0.3954180001
59	0.3947048324
60	0.3942645487
61	0.3933120741
62	0.3926086265
63	0.391695988
64	0.3901650037
65	0.3894240244
66	0.3885919751
67	0.3878955702
68	0.3872575886
69	0.3859110493
70	0.3852648706
71	0.3846816472
72	0.3844211317
73	0.3834753508
74	0.3829157862
75	0.382460572
76	0.3819189363
77	0.3810545141
78	0.3804035002
79	0.3798642932
80	0.3795144385
81	0.3791753717
82	0.3786664049
83	0.3774942354
84	0.3770800492
85	0.3764259675
86	0.3760881384
87	0.3758577916
88	0.3752535344
89	0.3745498592
90	0.3738874067
91	0.3726437864
92	0.3721227337
93	0.3718183955
94	0.3713870183
95	0.3708594107
96	0.3699122539
97	0.3693088653
98	0.3691586773
99	0.3685903692
100	0.3680558553
101	0.3678668686
102	0.3673071281
103	0.3667101163
104	0.3662121514
105	0.3659706832
106	0.3655203913
107	0.365113898
108	0.3647832772
109	0.3643645789
110	0.3639317127
111	0.3633843949
112	0.3627290142
113	0.3625145212
114	0.3618991431
115	0.3614020754
116	0.3610235553
117	0.3608042292
118	0.3601747085
119	0.3600287479
120	0.3593519166
121	0.3590831831
122	0.3584677633
123	0.3579971369
124	0.357264502
125	0.3570169651
126	0.3563542256
127	0.3560244271
128	0.3557052035
129	0.3555038494
130	0.3550310825
131	0.3548251694
132	0.3540144074
133	0.3537654224
134	0.3534358788
135	0.3530580043
136	0.3524239419
137	0.3521126321
138	0.3512632855
139	0.3508299276
140	0.3506560129
141	0.3496291293
142	0.3493964775
143	0.3492470821
144	0.3487597816
145	0.3483822421
146	0.3482598028
147	0.347694022
148	0.3472591574
149	0.34681731
150	0.3462183847
151	0.3457466304
152	0.3452163074
153	0.3450936871
154	0.3445686888
155	0.344330554
156	0.3440335904
157	0.3435785813
158	0.3432382114
159	0.3428158253
160	0.3425335723
161	0.342268901
162	0.341965189
163	0.3413251529
164	0.3410539162
165	0.3406508501
166	0.3401868423
167	0.3398976357
168	0.3391141579
169	0.3385899803
170	0.3381245522
171	0.3377288263
172	0.3376202898
173	0.3370470736
174	0.336638161
175	0.3362874396
176	0.3357100226
177	0.3353046182
178	0.3347082205
179	0.3343414167
180	0.334151297
181	0.3338000684
182	0.3333536446
183	0.3331217209
184	0.3326383236
185	0.3325063944
186	0.3321630042
187	0.3317461921
188	0.3315259325
189	0.3313957728
190	0.3309450845
191	0.3306792023
192	0.3303446513
193	0.330153596
194	0.3296702625
195	0.3290169384
196	0.3285797144
197	0.3283614504
198	0.3278848095
199	0.3272589258
200	0.3268044138
201	0.3266446645
202	0.3262245093
203	0.3259139786
204	0.3257498907
205	0.3256275057
206	0.3254136392
207	0.3251951507
208	0.3250465045
209	0.3248521673
210	0.3246722276
211	0.3240147954
212	0.3236325067
213	0.3232028207
214	0.3229836352
215	0.3226508248
216	0.3222814828
217	0.322071392
218	0.3214645307
219	0.3212341851
220	0.3210230451
221	0.3205162291
222	0.3203632902
223	0.3200769056
224	0.3190787973
225	0.3183837645
226	0.3179477366
227	0.3171868719
228	0.3165890564
229	0.3161965731
230	0.3158373012
231	0.3155821655
232	0.3154154342
233	0.3150707458
234	0.3147198605
235	0.3145331086
236	0.3138027915
237	0.3133037292
238	0.3131372565
239	0.3129645132
240	0.3127127837
241	0.3125303982
242	0.3123113385
243	0.3120293779
244	0.3118485888
245	0.3113732364
246	0.3109146175
247	0.3102077824
248	0.309869636
249	0.3094744316
250	0.3091099222
251	0.3088500825
252	0.3084247134
253	0.307944008
254	0.3077216689
255	0.3075321505
256	0.3073714577
257	0.3070837389
258	0.3068649561
259	0.3066217049
260	0.3063947488
261	0.3062944049
262	0.3060992167
263	0.3059873458
264	0.3057432665
265	0.3054142402
266	0.3049360628
267	0.3045818602
268	0.3042298894
269	0.303919909
270	0.3032449812
271	0.3029583409
272	0.3020029567
273	0.3018361872
274	0.3016472983
275	0.301358652
276	0.3011196819
277	0.300916876
278	0.3005836632
279	0.3003080022
280	0.3001449999
281	0.3000682909
282	0.299987067
283	0.2993822227
284	0.299314942
285	0.2990595399
286	0.2988110742
287	0.2985514068
288	0.2981279461
289	0.2979506215
290	0.297292109
291	0.2966291092
292	0.2960603744
293	0.2957990916
294	0.2955742121
295	0.2953253471
296	0.2950336078
297	0.2946936127
298	0.2944578925
299	0.2943193549
300	0.2939212909
301	0.2934193109
302	0.2928743721
303	0.2925458923
304	0.2921598266
305	0.291840176
306	0.2916963113
307	0.2914641414
308	0.2912445707
309	0.2910685009
310	0.2906633679
311	0.2905521108
312	0.2903343184
313	0.290141462
314	0.2899731924
315	0.289795488
316	0.2892903335
317	0.2891213372
318	0.2887584636
319	0.2884184568
320	0.2881586097
321	0.2880227999
322	0.2877096282
323	0.2874322269
324	0.2871239631
325	0.286859246
326	0.2867679314
327	0.2865663554
328	0.2864256445
329	0.2863239964
330	0.2862553963
331	0.2860524138
332	0.2859530754
333	0.2857894917
334	0.2855820567
335	0.2854718597
336	0.2853744817
337	0.2851790894
338	0.28499894
339	0.2848215756
340	0.2846561782
341	0.2844072918
342	0.2842372538
343	0.2839184164
344	0.283782565
345	0.2835187338
346	0.2833772389
347	0.2831451556
348	0.2830938303
349	0.2828487933
350	0.2826484193
351	0.2820488291
352	0.2819325663
353	0.2817514729
354	0.2814453752
355	0.2812385433
356	0.2808397362
357	0.2805958208
358	0.2804982574
359	0.2802207119
360	0.2801492855
361	0.2800143077
362	0.2797725319
363	0.2794228179
364	0.2793958519
365	0.2792056145
366	0.2790023428
367	0.2785482332
368	0.2782578593
369	0.2780582761
370	0.2779079059
371	0.2776129424
372	0.2773609923
373	0.2771559434
374	0.2767756823
375	0.2766732593
376	0.2764873962
377	0.2762650277
378	0.2761542877
379	0.27572808
380	0.275563574
381	0.2753403228
382	0.2750844554
383	0.27494398
384	0.2747084415
385	0.2745082929
386	0.2743677528
387	0.2739915165
388	0.2737255987
389	0.2735478633
390	0.2733943066
391	0.2733448877
392	0.2730905668
393	0.2729264982
394	0.2728019145
395	0.2726335302
396	0.2722843223
397	0.272159512
398	0.2719036721
399	0.2717213916
400	0.2716185899
401	0.2715109862
402	0.2713669778
403	0.2711328111
404	0.2709221471
405	0.2708640257
406	0.2707203159
407	0.2705853631
408	0.2704883412
409	0.2702746797
410	0.269984456
411	0.2697755468
412	0.2694916719
413	0.2691616475
414	0.2690964291
415	0.2688756614
416	0.2686377903
417	0.2685467989
418	0.2684206908
419	0.2682404015
420	0.2681903893
421	0.2678425805
422	0.2675861774
423	0.267526716
424	0.2672551835
425	0.2670902633
426	0.2668199287
427	0.2667058371
428	0.2666318163
429	0.2662839588
430	0.265839824
431	0.2656807624
432	0.265475204
433	0.2653264576
434	0.264958724
435	0.2647961411
436	0.2646778881
437	0.2644254336
438	0.2640500144
439	0.2637729452
440	0.2636293897
441	0.2633728118
442	0.2632295992
443	0.2629162164
444	0.2627312488
445	0.2625542126
446	0.2622367838
447	0.2620978452
448	0.2618360258
449	0.2615812099
450	0.2614129741
451	0.2612521217
452	0.2610956505
453	0.2609323729
454	0.2608356597
455	0.2606501136
456	0.2604297824
457	0.2602418862
458	0.2601534203
459	0.2600063804
460	0.2595055964
461	0.2594009288
462	0.2591233553
463	0.2588509993
464	0.2587664773
465	0.2586990264
466	0.2585258951
467	0.2582475905
468	0.2581444684
469	0.2580377029
470	0.2576347951
471	0.257164646
472	0.2570069065
473	0.2569139642
474	0.2567146038
475	0.2565298213
476	0.2563823707
477	0.2562684751
478	0.255971745
479	0.2558558909
480	0.255796908
481	0.2556183527
482	0.2554435978
483	0.2553380332
484	0.2548958212
485	0.2548349321
486	0.2545258181
487	0.2543953005
488	0.2543543577
489	0.2542104365
490	0.2541461015
491	0.2539372209
492	0.2537585258
493	0.2536593637
494	0.2533934803
495	0.253243014
496	0.2531933826
497	0.2530404018
498	0.2528651821
499	0.2528129214
500	0.2526645884
501	0.2526009729
502	0.2522234473
503	0.2520231443
504	0.2518991953
505	0.2517931576
506	0.2517103912
507	0.2514280999
508	0.2513334114
509	0.2512572071
510	0.2512121264
511	0.2510022087
512	0.2509557246
513	0.2504297664
514	0.2502298152
515	0.2500900954
516	0.2499819294
517	0.249606808
518	0.2493595513
519	0.2492360754
520	0.2487943833
521	0.2486902135
522	0.2485116823
523	0.2482607653
524	0.2480403108
525	0.2479606924
526	0.2477651965
527	0.2476914674
528	0.2475477908
529	0.2473901047
530	0.2473112873
531	0.2471982942
532	0.2470735711
533	0.2469838913
534	0.2468164987
535	0.2467048433
536	0.246584832
537	0.2464650716
538	0.2462855923
539	0.2461475236
540	0.2460181349
541	0.2458942213
542	0.2457754626
543	0.245370054
544	0.2453114289
545	0.2452342221
546	0.2450920039
547	0.2449220498
548	0.2447814009
549	0.2447163372
550	0.2445716087
551	0.244509625
552	0.2444202036
553	0.2442484404
554	0.2439836402
555	0.2438774046
556	0.2437194649
557	0.2433631198
558	0.2432853425
559	0.2432027523
560	0.2431155739
561	0.2430300761
562	0.2429402981
563	0.2428196409
564	0.2426992044
565	0.242642135
566	0.2426107031
567	0.2425076823
568	0.2424672034
569	0.2423512152
570	0.2422355694
571	0.2420613644
572	0.241846565
573	0.2417365267
574	0.2416765306
575	0.2416131532
576	0.2415635015
577	0.2414904618
578	0.2413020066
579	0.241206303
580	0.2410433656
581	0.2409824666
582	0.2405952359
583	0.2403979983
584	0.2403491787
585	0.2402632273
586	0.240230704
587	0.2401378484
